param:146732288
{"Bleu_1": 0.7683695576645488, "Bleu_2": 0.6064392839658993, "Bleu_3": 0.4571771267015181, "Bleu_4": 0.33890642365076246, "METEOR": 0.27086010640585456, "ROUGE_L": 0.5609051723895221, "CIDEr": 1.1263295913518305, "SPICE": 0.20163742965939604}epoch:0
{"Bleu_1": 0.7787428932406413, "Bleu_2": 0.6189090392678607, "Bleu_3": 0.4679646502510223, "Bleu_4": 0.34865809823666133, "METEOR": 0.2806859384755925, "ROUGE_L": 0.5703445575189423, "CIDEr": 1.1717328973120495, "SPICE": 0.20960020448476074}epoch:1
{"Bleu_1": 0.7822306040127412, "Bleu_2": 0.62225527833873, "Bleu_3": 0.4708150071417356, "Bleu_4": 0.34929887399933074, "METEOR": 0.28220979610001573, "ROUGE_L": 0.5723791457153019, "CIDEr": 1.1998712996644394, "SPICE": 0.21577670888818656}epoch:2
{"Bleu_1": 0.7863495346431858, "Bleu_2": 0.6261318115108114, "Bleu_3": 0.47872821285596334, "Bleu_4": 0.3605626741127651, "METEOR": 0.2870345946701713, "ROUGE_L": 0.5762923011941382, "CIDEr": 1.2156024629157267, "SPICE": 0.21791187373942292}epoch:3
{"Bleu_1": 0.7795941375422374, "Bleu_2": 0.6216221594908137, "Bleu_3": 0.47434391990217856, "Bleu_4": 0.3567511979280838, "METEOR": 0.28493014348009443, "ROUGE_L": 0.5740226904708702, "CIDEr": 1.2091090073419184, "SPICE": 0.2151574682638928}epoch:4
{"Bleu_1": 0.7764687725074196, "Bleu_2": 0.6180259081023142, "Bleu_3": 0.47254929609384044, "Bleu_4": 0.35805025579848276, "METEOR": 0.28422010712655693, "ROUGE_L": 0.5759111543150288, "CIDEr": 1.2049386429093734, "SPICE": 0.21512274845775853}epoch:6
{"Bleu_1": 0.7787487073422554, "Bleu_2": 0.6214745498395029, "Bleu_3": 0.47546201951813505, "Bleu_4": 0.35980214603679767, "METEOR": 0.2869198635243175, "ROUGE_L": 0.5750501132218524, "CIDEr": 1.2097492742288574, "SPICE": 0.21569103579151794}epoch:7
{"Bleu_1": 0.7828347835040528, "Bleu_2": 0.6236374868263395, "Bleu_3": 0.4764868867105737, "Bleu_4": 0.359087778484105, "METEOR": 0.28721235908892834, "ROUGE_L": 0.5767030258908161, "CIDEr": 1.2363308656236514, "SPICE": 0.2201556894669934}epoch:8
{"Bleu_1": 0.781602679721681, "Bleu_2": 0.620472328599364, "Bleu_3": 0.4747257474879489, "Bleu_4": 0.35959313539325616, "METEOR": 0.2895844925308412, "ROUGE_L": 0.5775337196785615, "CIDEr": 1.2245418834456114, "SPICE": 0.22035537627293467}epoch:9

epoch9 test:
{'Bleu_1': 0.7738677836761618, 'Bleu_2': 0.6133592745871472, 'Bleu_3': 0.4701377589824201, 'Bleu_4': 0.3564078427088888, 'METEOR': 0.28270808949214765, 'ROUGE_L': 0.571772200152385, 'CIDEr': 1.1929834274111724, 'SPICE': 0.21575228825046625}
