# 100 captions
{"Bleu_1": 0.7638881949248649, "Bleu_2": 0.6046826041364141, "Bleu_3": 0.45682122327045077, "Bleu_4": 0.3425135027054494, "METEOR": 0.27125652543285783, "ROUGE_L": 0.5642378970003932, "CIDEr": 1.2216004418894286, "SPICE": 0.19506616269446955}"epoch":0
{"Bleu_1": 0.7777706349299155, "Bleu_2": 0.6124697851315625, "Bleu_3": 0.46496491755554015, "Bleu_4": 0.34930262711526683, "METEOR": 0.2758056214945512, "ROUGE_L": 0.5672621682188076, "CIDEr": 1.2390487451917587, "SPICE": 0.19652528681733167}"epoch":1
{"Bleu_1": 0.778372144234816, "Bleu_2": 0.6216394559058752, "Bleu_3": 0.45847915203055123, "Bleu_4": 0.33519066824522564, "METEOR": 0.279642502078943, "ROUGE_L": 0.5702020764569445, "CIDEr": 1.2761301033262484, "SPICE": 0.2035915870702783}"epoch":2
{"Bleu_1": 0.7840425531906553, "Bleu_2": 0.6276050068145139, "Bleu_3": 0.49291783524194016, "Bleu_4": 0.3726020260421799, "METEOR": 0.28754042474648717, "ROUGE_L": 0.578900334645293, "CIDEr": 1.3278240529505423, "SPICE": 0.22118325887716764}"epoch":3
# 1000 captions
{"Bleu_1": 0.7875545397879922, "Bleu_2": 0.6275167486959614, "Bleu_3": 0.4812104992053479, "Bleu_4": 0.36392303019757744, "METEOR": 0.285402660647505, "ROUGE_L": 0.5738862946388684, "CIDEr": 1.249638603944633, "SPICE": 0.2190309992252416}epoch:4
{"Bleu_1": 0.787467633350514, "Bleu_2": 0.6335787050911753, "Bleu_3": 0.4911959711533064, "Bleu_4": 0.37647085207483166, "METEOR": 0.2906738672392855, "ROUGE_L": 0.5825339097436172, "CIDEr": 1.2823122715706434, "SPICE": 0.2223524531767667}epoch:5
{"Bleu_1": 0.7810546060857877, "Bleu_2": 0.6209105104480287, "Bleu_3": 0.4747313268063147, "Bleu_4": 0.35570915651261725, "METEOR": 0.28521397956029954, "ROUGE_L": 0.5790762471756516, "CIDEr": 1.2394388015000815, "SPICE": 0.21865409430619395}epoch:6
{"Bleu_1": 0.7857875307628398, "Bleu_2": 0.6315215705091133, "Bleu_3": 0.4860552086494485, "Bleu_4": 0.3690730045402541, "METEOR": 0.2886913036004181, "ROUGE_L": 0.5805830848165886, "CIDEr": 1.2664238681786155, "SPICE": 0.21812726619832404}epoch:7
{"Bleu_1": 0.7783184924414186, "Bleu_2": 0.617598737777369, "Bleu_3": 0.47131368462998297, "Bleu_4": 0.3555248947859917, "METEOR": 0.2847485764921718, "ROUGE_L": 0.5730900775038381, "CIDEr": 1.211297820629658, "SPICE": 0.21006672680012217}epoch:8
{"Bleu_1": 0.7800868486351551, "Bleu_2": 0.6201259467208741, "Bleu_3": 0.4742502973544806, "Bleu_4": 0.35986165383806823, "METEOR": 0.28886967236364114, "ROUGE_L": 0.5751274277901209, "CIDEr": 1.265079322976645, "SPICE": 0.2205463935788431}epoch:9
{"Bleu_1": 0.780141843971551, "Bleu_2": 0.6195639266914692, "Bleu_3": 0.47071287592775113, "Bleu_4": 0.35239942958398407, "METEOR": 0.28644028886103384, "ROUGE_L": 0.574778419435264, "CIDEr": 1.2330210948138955, "SPICE": 0.21743062328528248}epoch:10
{"Bleu_1": 0.7826267233335977, "Bleu_2": 0.6226863393220524, "Bleu_3": 0.47450126426514716, "Bleu_4": 0.35721029916797126, "METEOR": 0.28388233184616574, "ROUGE_L": 0.571999000215987, "CIDEr": 1.232529420865838, "SPICE": 0.21436848959789506}epoch:11
