1024*7680 Total Params:  132311808
{"Bleu_1": 0.7587958724664842, "Bleu_2": 0.5953865549540129, "Bleu_3": 0.4461724631619181, "Bleu_4": 0.3295533801610456, "METEOR": 0.2646029411708212, "ROUGE_L": 0.5537208067320137, "CIDEr": 1.1000408496049032, "SPICE": 0.1961874121618347}epoch:0
{"Bleu_1": 0.7658934039129811, "Bleu_2": 0.6047449286961577, "Bleu_3": 0.4549311131657055, "Bleu_4": 0.3377071824723351, "METEOR": 0.27705303455003416, "ROUGE_L": 0.5613719728559238, "CIDEr": 1.1618161171864432, "SPICE": 0.20494632436935642}epoch:1
{"Bleu_1": 0.7782363389405089, "Bleu_2": 0.6162514869625735, "Bleu_3": 0.46531263999597444, "Bleu_4": 0.3466217829593376, "METEOR": 0.2795814067684905, "ROUGE_L": 0.5689140607602663, "CIDEr": 1.1799440581994023, "SPICE": 0.2113442816610542}epoch:2
{"Bleu_1": 0.7863317829824343, "Bleu_2": 0.6287178198031004, "Bleu_3": 0.48084865884366385, "Bleu_4": 0.3633173458365601, "METEOR": 0.2824037823079869, "ROUGE_L": 0.5739760190148051, "CIDEr": 1.2078495353120304, "SPICE": 0.21463649742266597}epoch:3
{"Bleu_1": 0.7782590759075506, "Bleu_2": 0.621358726245802, "Bleu_3": 0.4744216137106589, "Bleu_4": 0.35873282185280525, "METEOR": 0.2850906344726199, "ROUGE_L": 0.5752053730833008, "CIDEr": 1.2185749092012832, "SPICE": 0.2144278859440474}epoch:4
{"Bleu_1": 0.7737965979007924, "Bleu_2": 0.6133242355064724, "Bleu_3": 0.46633968050841684, "Bleu_4": 0.34964358171388643, "METEOR": 0.2801985034193384, "ROUGE_L": 0.5661776078189786, "CIDEr": 1.1761541186973266, "SPICE": 0.21328095754408008}epoch:5
{"Bleu_1": 0.7787422037421633, "Bleu_2": 0.6173369184019828, "Bleu_3": 0.47083708150436937, "Bleu_4": 0.3563315903023053, "METEOR": 0.28520318800803957, "ROUGE_L": 0.5734862238317536, "CIDEr": 1.2261296006391957, "SPICE": 0.21666937719821158}epoch:6
{"Bleu_1": 0.7808184011911085, "Bleu_2": 0.6225529830035283, "Bleu_3": 0.47541709018189465, "Bleu_4": 0.35984676542296323, "METEOR": 0.2852149289861728, "ROUGE_L": 0.5746722919946512, "CIDEr": 1.2162441523500838, "SPICE": 0.21772062806704898}epoch:7
{"Bleu_1": 0.784005397270186, "Bleu_2": 0.6282547045730785, "Bleu_3": 0.48111127270672943, "Bleu_4": 0.3653094828576981, "METEOR": 0.28548189509069744, "ROUGE_L": 0.5774812191659537, "CIDEr": 1.2232950790407768, "SPICE": 0.21716402266539192}epoch:8
{"Bleu_1": 0.7789342861581079, "Bleu_2": 0.6195684625047384, "Bleu_3": 0.4724415720735557, "Bleu_4": 0.35588908251788104, "METEOR": 0.2850828052444398, "ROUGE_L": 0.5751845419674659, "CIDEr": 1.2083585902002838, "SPICE": 0.21723137755960994}epoch:9

test
{"Bleu_1": 0.7138762578359654, "Bleu_2": 0.5578009225528193, "Bleu_3": 0.4265883512619145, "Bleu_4": 0.32433705721966355, "METEOR": 0.2750473587679166, "ROUGE_L": 0.5526861428000573, "CIDEr": 1.0054485467026253, "SPICE": 0.18742689922548553}
