加入aux loss bleu指标均上升，其他指标下降
{"Bleu_1": 0.7787443424822328, "Bleu_2": 0.6175744385103236, "Bleu_3": 0.4677358359756981, "Bleu_4": 0.3482844143199575, "METEOR": 0.2793097639649139, "ROUGE_L": 0.5697333925024578, "CIDEr": 1.1680576446921305, "SPICE": 0.21086414852128554}epoch:0
{"Bleu_1": 0.7893263157894571, "Bleu_2": 0.6317598673791665, "Bleu_3": 0.48450246386348395, "Bleu_4": 0.3663267202189763, "METEOR": 0.28415461130116904, "ROUGE_L": 0.5777788374118161, "CIDEr": 1.2125612927614073, "SPICE": 0.21576763752488987}epoch:1
{"Bleu_1": 0.7946922398125325, "Bleu_2": 0.6372317819758836, "Bleu_3": 0.48937404890736014, "Bleu_4": 0.3708006341231154, "METEOR": 0.28679663095356117, "ROUGE_L": 0.5811336905832812, "CIDEr": 1.2294442077816523, "SPICE": 0.21917571366000801}epoch:2
{"Bleu_1": 0.7883122528825888, "Bleu_2": 0.6327067269497125, "Bleu_3": 0.4869340476515297, "Bleu_4": 0.3705003219327157, "METEOR": 0.28855246891410247, "ROUGE_L": 0.5815448888912792, "CIDEr": 1.232774693413571, "SPICE": 0.22198709739884126}epoch:3
{"Bleu_1": 0.7919792207792044, "Bleu_2": 0.6348917865914868, "Bleu_3": 0.48865283078416716, "Bleu_4": 0.3720925518552463, "METEOR": 0.28924233417289397, "ROUGE_L": 0.5830892796007294, "CIDEr": 1.2447791914252786, "SPICE": 0.22238504905397022}epoch:4
{"Bleu_1": 0.7907966291668233, "Bleu_2": 0.636032547936256, "Bleu_3": 0.49152426200112653, "Bleu_4": 0.37547245952975955, "METEOR": 0.29211439897722424, "ROUGE_L": 0.5837888926105314, "CIDEr": 1.2441793881864212, "SPICE": 0.22158101828620266}epoch:5
{"Bleu_1": 0.7921756835369237, "Bleu_2": 0.6364935712915643, "Bleu_3": 0.49124137535223866, "Bleu_4": 0.3753391207060957, "METEOR": 0.2921685235185327, "ROUGE_L": 0.5850761330113639, "CIDEr": 1.2527782188748815, "SPICE": 0.22349953818804189}epoch:6
{"Bleu_1": 0.7927274235011031, "Bleu_2": 0.6357471007150411, "Bleu_3": 0.4909678691603541, "Bleu_4": 0.3759317235028061, "METEOR": 0.29183941528975504, "ROUGE_L": 0.5844957405420852, "CIDEr": 1.2506609208534991, "SPICE": 0.2234666194467396}epoch:7
{"Bleu_1": 0.7899915427298255, "Bleu_2": 0.6341923815115854, "Bleu_3": 0.4898020686960052, "Bleu_4": 0.3753946489776521, "METEOR": 0.29249051883093347, "ROUGE_L": 0.5849365304552433, "CIDEr": 1.2508734848691097, "SPICE": 0.22310006592359982}epoch:8
{"Bleu_1": 0.7921301848558623, "Bleu_2": 0.6376563631994457, "Bleu_3": 0.49329129899834884, "Bleu_4": 0.37806234074243655, "METEOR": 0.29277572261523654, "ROUGE_L": 0.5864646586521737, "CIDEr": 1.2578350670236824, "SPICE": 0.2243156421546967}epoch:9

best
beam:1 test:{"Bleu_1": 0.78961459435899, "Bleu_2": 0.6340944002188761, "Bleu_3": 0.49091196996378955, "Bleu_4": 0.375831546418809, "METEOR": 0.29155583129970475, "ROUGE_L": 0.5836908385474749, "CIDEr": 1.2599701863677248, "SPICE": 0.22308648602048956}epoch:0
beam:1 test:{"Bleu_1": 0.78961459435899, "Bleu_2": 0.6340944002188761, "Bleu_3": 0.49091196996378955, "Bleu_4": 0.375831546418809, "METEOR": 0.29155583129970475, "ROUGE_L": 0.5836908385474749, "CIDEr": 1.2599701863677248, "SPICE": 0.22308648602048956}epoch:0
beam:1 test:{"Bleu_1": 0.78961459435899, "Bleu_2": 0.6340944002188761, "Bleu_3": 0.49091196996378955, "Bleu_4": 0.375831546418809, "METEOR": 0.29155583129970475, "ROUGE_L": 0.5836908385474749, "CIDEr": 1.2599701863677248, "SPICE": 0.22308648602048956}epoch:0
beam:1 test:{"Bleu_1": 0.78961459435899, "Bleu_2": 0.6340944002188761, "Bleu_3": 0.49091196996378955, "Bleu_4": 0.375831546418809, "METEOR": 0.29155583129970475, "ROUGE_L": 0.5836908385474749, "CIDEr": 1.2599701863677248, "SPICE": 0.22308648602048956}epoch:0
beam:1 test:{"Bleu_1": 0.78961459435899, "Bleu_2": 0.6340944002188761, "Bleu_3": 0.49091196996378955, "Bleu_4": 0.375831546418809, "METEOR": 0.29155583129970475, "ROUGE_L": 0.5836908385474749, "CIDEr": 1.2599701863677248, "SPICE": 0.22308648602048956}epoch:0

{"Bleu_1": 0.7607559825681539, "Bleu_2": 0.6027389988684029, "Bleu_3": 0.4547009410123786, "Bleu_4": 0.3376902423557502, "METEOR": 0.26702356247738207, "ROUGE_L": 0.553412288764109, "CIDEr": 1.1212305615353164, "SPICE": 0.20267509114260018}epoch:0
{"Bleu_1": 0.7788446297230802, "Bleu_2": 0.6259485095297381, "Bleu_3": 0.48133665480432386, "Bleu_4": 0.3643688380356268, "METEOR": 0.27874797819801406, "ROUGE_L": 0.5699429830274888, "CIDEr": 1.1945566598103288, "SPICE": 0.21233342391630378}epoch:1
