lamda=0.1
{"Bleu_1": 0.7597379552361763, "Bleu_2": 0.5963276476210019, "Bleu_3": 0.44037686627982464, "Bleu_4": 0.31761125274756485, "METEOR": 0.260517555337126, "ROUGE_L": 0.5500842361467092, "CIDEr": 1.051850816499121, "SPICE": 0.19371534001461796}epoch:0
{"Bleu_1": 0.771011862045659, "Bleu_2": 0.6080110422965345, "Bleu_3": 0.4545668600930271, "Bleu_4": 0.3323952094702807, "METEOR": 0.2700667800447676, "ROUGE_L": 0.5582984932264803, "CIDEr": 1.1005222686536742, "SPICE": 0.20479891082409438}epoch:1
{"Bleu_1": 0.772306872013601, "Bleu_2": 0.6128263387428472, "Bleu_3": 0.46099708048831367, "Bleu_4": 0.3383575695274592, "METEOR": 0.27549233322630273, "ROUGE_L": 0.5641695478185315, "CIDEr": 1.134116964781112, "SPICE": 0.21030531547630504}epoch:2
{"Bleu_1": 0.78349177101217, "Bleu_2": 0.6251490769801336, "Bleu_3": 0.4718699756475048, "Bleu_4": 0.3491238768725972, "METEOR": 0.27736758746006585, "ROUGE_L": 0.5692000572909552, "CIDEr": 1.1613498629919206, "SPICE": 0.21315212095153138}epoch:3
{"Bleu_1": 0.7890152058615718, "Bleu_2": 0.6311957835422687, "Bleu_3": 0.47971408521628844, "Bleu_4": 0.3575087850572498, "METEOR": 0.27926550689618623, "ROUGE_L": 0.5715460930518997, "CIDEr": 1.1804327737889235, "SPICE": 0.2147216272409577}epoch:4
{"Bleu_1": 0.7881267030678974, "Bleu_2": 0.6295562110540452, "Bleu_3": 0.47569777489086684, "Bleu_4": 0.3518518710528818, "METEOR": 0.2776007096061837, "ROUGE_L": 0.5713565814783058, "CIDEr": 1.1705107526970042, "SPICE": 0.21386986167366775}epoch:5
{"Bleu_1": 0.7881225649520486, "Bleu_2": 0.6332459459063837, "Bleu_3": 0.48257366016195213, "Bleu_4": 0.3608065278388224, "METEOR": 0.28210707643923383, "ROUGE_L": 0.5750943958169223, "CIDEr": 1.1936166590638848, "SPICE": 0.2162347494761375}epoch:6
{"Bleu_1": 0.7887535771729203, "Bleu_2": 0.6340221851797224, "Bleu_3": 0.48327235487084785, "Bleu_4": 0.361447370959395, "METEOR": 0.28256076742409497, "ROUGE_L": 0.5769253293326856, "CIDEr": 1.2005283043577004, "SPICE": 0.2174448699192344}epoch:7
{"Bleu_1": 0.7933331940934274, "Bleu_2": 0.6372108708422145, "Bleu_3": 0.4858365084342453, "Bleu_4": 0.3633235655788238, "METEOR": 0.283417684855044, "ROUGE_L": 0.5791963537594417, "CIDEr": 1.20719900887564, "SPICE": 0.21928333503423963}epoch:8
{"Bleu_1": 0.793941174002417, "Bleu_2": 0.6395244642828188, "Bleu_3": 0.48892942020677627, "Bleu_4": 0.36585166550711884, "METEOR": 0.28383682589579223, "ROUGE_L": 0.5800084569903416, "CIDEr": 1.214876488703559, "SPICE": 0.21890454345925758}epoch:9
test:{"Bleu_1": 0.7906037502575564, "Bleu_2": 0.6380354146939543, "Bleu_3": 0.4959675270497173, "Bleu_4": 0.3778481668884637, "METEOR": 0.290998834984286, "ROUGE_L": 0.5843852352373906, "CIDEr": 1.2540666504978772, "SPICE": 0.22682839907127558}epoch:0
test:{"Bleu_1": 0.7906037502575564, "Bleu_2": 0.6380354146939543, "Bleu_3": 0.4959675270497173, "Bleu_4": 0.3778481668884637, "METEOR": 0.290998834984286, "ROUGE_L": 0.5843852352373906, "CIDEr": 1.2540666504978772, "SPICE": 0.22682839907127558}epoch:0
test:{"Bleu_1": 0.7943212288760774, "Bleu_2": 0.6390693340508762, "Bleu_3": 0.49417615662623565, "Bleu_4": 0.3747868386181398, "METEOR": 0.2881086041249036, "ROUGE_L": 0.5827130220958259, "CIDEr": 1.2416110328003427, "SPICE": 0.22502205845250237}epoch:0
mlp-frozen-both
{"Bleu_1": 0.7068328691169585, "Bleu_2": 0.5431901733769452, "Bleu_3": 0.3906060554902606, "Bleu_4": 0.27164500120759016, "METEOR": 0.24118839849482607, "ROUGE_L": 0.5271774380999412, "CIDEr": 0.9232430089786856, "SPICE": 0.17873721554149533}epoch:0
{"Bleu_1": 0.7199202034842217, "Bleu_2": 0.5587679647177314, "Bleu_3": 0.4061337701008162, "Bleu_4": 0.28543969677095626, "METEOR": 0.24809834638286424, "ROUGE_L": 0.5364913671818616, "CIDEr": 0.9686654523649657, "SPICE": 0.18580410242933781}epoch:1
{"Bleu_1": 0.7255625768948092, "Bleu_2": 0.5646062646038228, "Bleu_3": 0.412210940285218, "Bleu_4": 0.2915371934005474, "METEOR": 0.249486586894568, "ROUGE_L": 0.5392816844068875, "CIDEr": 0.9812020542928723, "SPICE": 0.18680429587286626}epoch:2
{"Bleu_1": 0.7306386086263014, "Bleu_2": 0.5702018203556337, "Bleu_3": 0.4183445880555742, "Bleu_4": 0.29810246670994683, "METEOR": 0.25203440195829147, "ROUGE_L": 0.5418907446653779, "CIDEr": 1.001073647929925, "SPICE": 0.1883227688512394}epoch:3
{"Bleu_1": 0.7310506515284886, "Bleu_2": 0.5707869261357096, "Bleu_3": 0.4184920211276423, "Bleu_4": 0.2986144490157833, "METEOR": 0.2521180149919222, "ROUGE_L": 0.542081980678594, "CIDEr": 1.0020982348678762, "SPICE": 0.18956564701605244}epoch:4
{"Bleu_1": 0.7350884927550478, "Bleu_2": 0.5736627714918288, "Bleu_3": 0.419815385045487, "Bleu_4": 0.29840897463345095, "METEOR": 0.25285166866869335, "ROUGE_L": 0.5433740183373177, "CIDEr": 1.0046958929250005, "SPICE": 0.1896466803518142}epoch:5
{"Bleu_1": 0.7380315408156598, "Bleu_2": 0.5766795230590617, "Bleu_3": 0.42361973339961356, "Bleu_4": 0.3028362504936303, "METEOR": 0.2551119274562607, "ROUGE_L": 0.5457391272662854, "CIDEr": 1.0176775666157711, "SPICE": 0.19127446006787704}epoch:6
