38623488
{"Bleu_1": 0.7529973529869335, "Bleu_2": 0.5866908724618551, "Bleu_3": 0.4326470650235671, "Bleu_4": 0.3110231230214288, "METEOR": 0.2610189266089753, "ROUGE_L": 0.5466645379643408, "CIDEr": 1.0458892632589407, "SPICE": 0.194839935420439}epoch:0
{"Bleu_1": 0.7733463520619982, "Bleu_2": 0.6098077481006338, "Bleu_3": 0.4563336793121674, "Bleu_4": 0.33083172291155616, "METEOR": 0.27080288695601046, "ROUGE_L": 0.5604344256092046, "CIDEr": 1.116454314128366, "SPICE": 0.20460427889656027}epoch:1
{"Bleu_1": 0.7776451043504944, "Bleu_2": 0.6198245315282181, "Bleu_3": 0.46925950479525025, "Bleu_4": 0.34844788724813325, "METEOR": 0.2777092602934849, "ROUGE_L": 0.5676914528233927, "CIDEr": 1.1532434067812756, "SPICE": 0.21183573756590932}epoch:3
{"Bleu_1": 0.7834484546159803, "Bleu_2": 0.6245075325971721, "Bleu_3": 0.47189944567195613, "Bleu_4": 0.3471849365814475, "METEOR": 0.27555182933687644, "ROUGE_L": 0.5700598848635648, "CIDEr": 1.16691284137839, "SPICE": 0.2114058685344026}epoch:4
{"Bleu_1": 0.7869399676628182, "Bleu_2": 0.6327452366704801, "Bleu_3": 0.48317836146763127, "Bleu_4": 0.35970471039463375, "METEOR": 0.28261001224158694, "ROUGE_L": 0.573571983514388, "CIDEr": 1.2036996618777338, "SPICE": 0.2163034209459438}epoch:5
{"Bleu_1": 0.7867841858568989, "Bleu_2": 0.6297309031645137, "Bleu_3": 0.4797318628293728, "Bleu_4": 0.35999023269965885, "METEOR": 0.28542856579650644, "ROUGE_L": 0.5785752722357115, "CIDEr": 1.2218467456968751, "SPICE": 0.21969422138304542}epoch:6
{"Bleu_1": 0.779706342398669, "Bleu_2": 0.6243997515289362, "Bleu_3": 0.47242085989149607, "Bleu_4": 0.34991961172941305, "METEOR": 0.28205050699845147, "ROUGE_L": 0.5696039168445373, "CIDEr": 1.194069274836938, "SPICE": 0.21869400965890512}epoch:7
{"Bleu_1": 0.7869963275228476, "Bleu_2": 0.6306690774149255, "Bleu_3": 0.48081232143780434, "Bleu_4": 0.35857532452797697, "METEOR": 0.2832903266634334, "ROUGE_L": 0.5743611423308927, "CIDEr": 1.2160262861348716, "SPICE": 0.22173599891324092}epoch:8
{"Bleu_1": 0.7837907419802902, "Bleu_2": 0.6276483634173776, "Bleu_3": 0.4754043787992152, "Bleu_4": 0.35410864943925113, "METEOR": 0.28497904898950155, "ROUGE_L": 0.5748993773973684, "CIDEr": 1.1953433925545365, "SPICE": 0.21749689380963616}epoch:9

test epoch6
{"Bleu_1": 0.7716803688365579, "Bleu_2": 0.6116972753753168, "Bleu_3": 0.4626249017438481, "Bleu_4": 0.3423188801383568, "METEOR": 0.27841545938305723, "ROUGE_L": 0.5658226929384483, "CIDEr": 1.1641615575913165, "SPICE": 0.21447962929953843}
