tanh不行
{"Bleu_1": 0.6901090801171943, "Bleu_2": 0.5209371582377123, "Bleu_3": 0.3710410008590134, "Bleu_4": 0.25850521787544295, "METEOR": 0.22790429887036626, "ROUGE_L": 0.5109079985855838, "CIDEr": 0.8557452849015444, "SPICE": 0.1653815449150708}epoch:0
{"Bleu_1": 0.40670370197467876, "Bleu_2": 0.21522654295924776, "Bleu_3": 0.09345853841706893, "Bleu_4": 0.03928612849800261, "METEOR": 0.11094705137496183, "ROUGE_L": 0.32112369418451736, "CIDEr": 0.05870523523648137, "SPICE": 0.02715745334679427}epoch:0
{"Bleu_1": 0.2077953971372366, "Bleu_2": 0.08263638830621615, "Bleu_3": 0.025851944369226013, "Bleu_4": 0.011115952308420132, "METEOR": 0.0642483286200919, "ROUGE_L": 0.2358397584091447, "CIDEr": 0.01163714308980071, "SPICE": 0.013975845028857879}epoch:1
{"Bleu_1": 0.4287014417780127, "Bleu_2": 0.2372256444725029, "Bleu_3": 0.11841838147017798, "Bleu_4": 0.061480585153648556, "METEOR": 0.1168540397232048, "ROUGE_L": 0.3515840038167089, "CIDEr": 0.12620529573961742, "SPICE": 0.04078574393776144}epoch:2
{"Bleu_1": 0.4480150214592034, "Bleu_2": 0.23908075791991706, "Bleu_3": 0.11885173945939992, "Bleu_4": 0.06125532585861519, "METEOR": 0.1122655376039777, "ROUGE_L": 0.3426761453937583, "CIDEr": 0.11051005709887392, "SPICE": 0.04048656296448788}epoch:3
{"Bleu_1": 0.6853194240739939, "Bleu_2": 0.5021679468279826, "Bleu_3": 0.3472433128657981, "Bleu_4": 0.23271164487679635, "METEOR": 0.22208729037273084, "ROUGE_L": 0.4948612180406634, "CIDEr": 0.7747227279051703, "SPICE": 0.15642823410324513}epoch:0
concat[text text]
{"Bleu_1": 0.02470981916809016, "Bleu_2": 0.002694061434595971, "Bleu_3": 7.784378862819835e-09, "Bleu_4": 1.536331078440365e-11, "METEOR": 0.021063820859370017, "ROUGE_L": 0.13819412241774123, "CIDEr": 0.012983423432504528, "SPICE": 0.0}epoch:0
# 3层 use_contrastive_loss prefix50 without const learn
{"Bleu_1": 0.7129857493050713, "Bleu_2": 0.5441183147557531, "Bleu_3": 0.3910473392560448, "Bleu_4": 0.2738791199952061, "METEOR": 0.2363829136685206, "ROUGE_L": 0.5206104811078952, "CIDEr": 0.9122066368991082, "SPICE": 0.1726890241618936}epoch:0
{'Bleu_1': 0.7477359427793603, 'Bleu_2': 0.5814907122060595, 'Bleu_3': 0.42651734677892333, 'Bleu_4': 0.3031144110950347, 'METEOR': 0.2581952074012896, 'ROUGE_L': 0.5459141984454052, 'CIDEr': 1.0377083198880213, 'SPICE': 0.1940027263601143}epoch:1
{"Bleu_1": 0.7547994817292734, "Bleu_2": 0.5906535280209061, "Bleu_3": 0.43692548535483283, "Bleu_4": 0.31427330417907434, "METEOR": 0.2611995189696608, "ROUGE_L": 0.5467108167822646, "CIDEr": 1.0642952472184246, "SPICE": 0.19729325416418714}epoch:2
{'Bleu_1': 0.7669484206806954, 'Bleu_2': 0.6029242903183426, 'Bleu_3': 0.44721804809370064, 'Bleu_4': 0.32217415981942227, 'METEOR': 0.2635049456824031, 'ROUGE_L': 0.5534807569354094, 'CIDEr': 1.0779104577909626, 'SPICE': 0.19796008994998693}epoch:3
{"Bleu_1": 0.7597606890504534, "Bleu_2": 0.5991441468775291, "Bleu_3": 0.44696624239315025, "Bleu_4": 0.3254434276287945, "METEOR": 0.2694729521905393, "ROUGE_L": 0.5538662937791028, "CIDEr": 1.1059443462991787, "SPICE": 0.20641172817986098}epoch:4
{"Bleu_1": 0.7596399021699142, "Bleu_2": 0.6015317439395991, "Bleu_3": 0.45201803264051155, "Bleu_4": 0.331920100002809, "METEOR": 0.2693921271588131, "ROUGE_L": 0.5559745611886329, "CIDEr": 1.1184256018036627, "SPICE": 0.20498022422499307}epoch:5
{"Bleu_1": 0.7718813875336149, "Bleu_2": 0.6123683051659192, "Bleu_3": 0.4590461824857631, "Bleu_4": 0.3336036182755464, "METEOR": 0.27162081656279424, "ROUGE_L": 0.5638403922034353, "CIDEr": 1.1384741613416067, "SPICE": 0.20567223690507727}epoch:6
